Tags,Body,Title
 java android xml android-studio xslt ,    im using  Android Books and android-studio to get into the materia but now im stuck.If i try to change .clickable(false) .setenabled(false) or even the color in Java my programm stops. It runs fluent with every gimmick im implementing but if i try to enable (first state disabled) the checkboxes/buttons when someone clicks on the \startbutton\ my app closes.Note about the ammount of Textviews and checkboxes: Im about to check out the mainfunctions and make it in the . in a scrollable activity with an objectarray. atm all these textviews are only there to get me a hint how big this app can be. It´s a quizapp for exams about health and medicine. It is possible that there is  question  subquestions and  answers or  questions  subquestions and only  answers. Every Exam has about  Questions. BUT i can´t do this cause when i disable one single checkbox or setVisebility(false) my App stops.My suggestions:<ul>to open a \getCurentState()\ method in the xml Filecreate a new xml file with one \true\ and a \false\ varable and ref them in the main xml document setclickable=\@.../currentState\ ivé heard about xsl but how? :D</ul>XML-File:        &lt,    Application stops when i change everything in a button/textview except the Text
 android geolocation  ,    Is it possible to locate a user via user's phone number in Android? If an SMS can be sent to the user then we can also retrieve or get to know the location of the user who we sending the SMS.I mean is it possible to program the following functionality:<ol>App sends SMS to user's phoneApp recieves SMS at user's phone from the SMS senderApp gets location coordinates of the user's phoneApp sends location coordinates to the SMS sender via SMS</ol>Also is it possible to retrieve the required location of the user via user's phone number via any other means apart from SMS EMAIL or CALL? How come Viber and VChat apps are locating user locations via their phone numbers? Here are some apps on the app store:<ol><a href=\https://play.google.com/store/apps/details?id=com.local_cell_tracker&amp,    Can we locate a user via user&#;s phone number in Android?
 android keyboard android-softkeyboard searchview soft-keyboard ,    I have the following code:  if(mSearchView != null){        mSearchView.setIconifiedByDefault(false),    SearchView setIconified(false) automatically calls the focus for the searchview. How can I disable this?
 android amazon-web-services iot  ,    There is this app to publish and subscribe to the AWS IOT.<a href=\https://github.com/awslabs/aws-sdk-android-samples/tree/master/AndroidPubSub\ rel=ofollow noreferrer\>GITHUB link to the app to download</a> I tried to follow the same steps mentioned except changing the specific end point IAM policy name and pool ID to see the app's functionality. But it's getting crashed as soon as it's opened after installation. Unable to figure out where the error is and why is it not opening. Please refer to the link and help me understand where and why is it crashing?Thanks in advance :),    Android app after installation it&#;s getting crashed
 java android pipe native-code ,    I'm developing on SGS api v.I have two applications: native and JavaFrom the native app I open a Unix pipe with mkfifo() function and write some string to it.And in the java app I'm trying to read the string but somehow the app blocks and I don't know why no indication in the logcat for why it blocked.The  apps have android:sharedUserId=\my.Id\ in the manifest and the share worked for sure.In the logcat I can see the \opening input stream\ log but no log after that..Is there a recommended way to read from a pipe file in Java?NOTE: if I open a regular file with open(...) instead of using mkfifo(...) I succeed to read from the file the problem is only when I open a pipe file with mkfifo()Here is the function runs from the native app:jint Java_com_example_ndkfoo_NdkFooActivity_writeToPipe(JNIEnv* env jobject javaThis) {   const char* PATH = \/data/data/com.example.ndkfoo/v_pipe\,    Android - Using pipe between native and java apps
 java php android mysql sendmessage  ,    i have sms_outbox table at my database (MySQL) as server side. sms_outbox contains message and destination number fields. and i want to create client side (android app) that will send sms automatically anytime when there is new row inserted on sms_outbox table. although the app is not open. so the \send_sms\ process is always running in background.how can i do that ? what is the best way to do that ?,    android sending sms automatically when new row inserted on database
 java android android-actionbar android-toolbar ,    not working for meactivity.findViewById(R.string.abc_action_bar_up_description).performClick(),    How to click in the Toolbar on the navigation button?
 php android apache server  ,    I am developing a tablet based android application and its back-end and api calls are done in php (slim lib) and mysql.  the app architecture is bellow. there will be a local server machine in the building / room for handling api calls from android app through wifi network. all the data and media files uploaded /stored in the local machine. android app fetches the data/media files form server on demand via api calls. Now am using xampp server for my test purpose and its work decently up to  devices . if the number of devices increases some devices lost the response from server or wait long time for response especially in file downloading from server to tab.I have tested the app with real devices and commercial router. I need to improve the response speed from server and fast simultaneous file downloading. Is there any commercial local apache server package available other than xampp and wampp. ,    is there any commercial apache server available other than xampp and wamp
 java android email javamail ,    I need to fix my code it is not sending after adding attachment codeEmail.javapackage com.leenah.app,    Java Mail API not working with attachment
 android nullpointerexception ads  ,    I had google ads inside my app.They  used to work fine before i added facebook(audience) ads too.What i do is when ad facebook ad fails to load i show google ad. My ads used towork fine but until yesterday they started crashing the app with error   java.lang.NullPointerException: Attempt to invoke virtual method 'android.content.pm.PackageManager android.content.Context.getPackageManager()' on a null object reference                                                                      at com.google.android.gms.common.zze.isGooglePlayServicesAvailable(Unknown Source)                                                                      at com.google.android.gms.common.zzc.isGooglePlayServicesAvailable(Unknown Source)                                                                      at com.google.android.gms.internal.zzpx.zzP(Unknown Source)                                                                      at com.google.android.gms.internal.zzeg.zza(Unknown Source)                                                                      at com.google.android.gms.internal.zzeg.zzb(Unknown Source)                                                                      at com.google.android.gms.internal.zzfa.zzS(Unknown Source)                                                                      at com.google.android.gms.internal.zzfa.zza(Unknown Source)                                                                      at com.google.android.gms.ads.InterstitialAd.loadAd(Unknown Source)                                                                      at com.bison.multipurposeapp.fragments.BaseTabLayoutFragment.requestNewInterstitial(BaseTabLayoutFragment.java:)                                                                      at com.bison.multipurposeapp.fragments.BaseTabLayoutFragment.loadInterstitial(BaseTabLayoutFragment.java:)                                                                      at com.bison.multipurposeapp.fragments.BaseTabLayoutFragment$.onError(BaseTabLayoutFragment.java:)                                                                      at com.facebook.ads.AdView$.a(Unknown Source)This is the piece of code,    Ads crash on loading android
 android google-maps google-places-api ,    As the title when I clicked on PlaceAutocompleteFragment to fill text Application got an error.Here my problem:<img src=\https://i.stack.imgur.com/rohg.png\ alt=\enter image description here\>Here my code:Build.gradle    compile 'com.android.support:appcompat-v:..'    compile 'com.android.support.constraint:constraint-layout:..'    compile 'com.google.android.gms:play-services-maps:..'    compile 'com.google.android.gms:play-services-location:..'XML&lt,    Error when click on PlaceAutocompleteFragment Google Places API
 android apk config  ,    I have an android application that sends info to a server but needs each user to have an assigned API key that they use. The apk build is therefore universal but I need to attach a unique config file to the download containing the API key.SharedPreferences (or SecurePreferences) is ok for writing and reading from the app on the device but not for sending down a pre-configured file?*.properties needs to compiled with the app ?AndroidManifest.xml meta-data this is just used at build time?What's the best way to have the unique API Key downloaded have it stored somewhere private to the app and accessible to the app?Thanks,    Downloading an Android APK and an associated unique API Key
 android dx ,    when i use command like this \dx --dex --output=G:\\已测apk\\Test_dx\\classes.dex --input-list=G:\\已测apk\\Test_dx\\classes-dexjar.jar\ then there are many same exceptions in cmd they are UNEXPECTED TOP-LEVEL EXCEPTION such asUNEXPECTED TOP-LEVEL EXCEPTION:orUncaught translation error: java.util.concurrent.ExecutionException: java.lang.OutOfMemoryError: GC overhead limit exceeded error,    dx.bat failed when i try to convert jar to dex
 android c++ android-studio opencv  ,    I am using Android Studio . and get fatal error: 'opencv/core/core.hpp' file not foundI saw many similar issues that are not build Android.mk but my Android.mk should already built.If change include path of OpenCV.mk in Android.mk it will report file not found error so I think Android.mk is already included in build process and file path is correct.If include path is correct OpenCV.mk should find folder opencv but I still get file not found error.Is there any other way to set include path in Android Studio?What's wrong in my build script?native-lib.cpp#include &lt,    Android Studio &#;opencv/core/core.hpp&#; file not found
 android firebase firebase-database firebase-cloud-messaging ,    I have an app that uses firebaserecycleradapter/view to show data on the screen. Works very well but I have one problem.  When I send a notification for breaking news and when the user clicks the notification my news app opens up but it takes a while before the latest news is loaded.  I would like to load the data in the background in the onMessageReceived of the notification (which contains data also) so that when the user opens the news activity the latest news items are already available. Code given below:public void onMessageReceived(RemoteMessage remoteMessage) {        // Check if message contains a data payload.        if (remoteMessage.getData().size() &gt,    Reading data from firebase database in the background
 android  ,    I started to learn Android few days back and so far I am done with implementing Login Activity Main Activity which extends abstract Base Activity.Nav Bar item when clicked opens xml from Fragments.I have a question about the token that I receive after successful login. This token is being used with each request to get data after successful login. Should I save the token in sqlite database securely or I should make a public property in Main Activity? Main Activity will always remain in memory as this will open fragments.,    Should I Save token securely in Memory or sqlite? or Please suggest
 android android-studio ubuntu emulator avd ,    <blockquote>  PANIC: Unknown AVD name [Nexus_S_API_] use -list-avds to see valid  list. ANDROID_SDK_HOME is defined but could not find  Nexus_S_API_.ini file in $ANDROID_SDK_HOME/.android/avd (Note: avd  is searched in the order of  $ANDROID_AVD_HOME$ANDROID_SDK_HOME/.android/avd and  $HOME/.android/avd)</blockquote>This is the error I get I have set the Android Home variables like this in the bashrc:export ANDROID_HOME=/home/myname/Android/Sdkexport PATH=$PATH:$ANDROID_HOME/tools:$ANDROID_HOME/platform-toolsexport ANDROID_AVD_HOME=/home/myname/.android/avdexport ANDROID_SDK_HOME=/home/myname/Android/Sdk,    Can&#;t run AVD in Android Studio Android home issue Ubuntu
 android  ,    I had a listview which item contain fab &amp,    FAB &amp; Textview as ListViewItem
 android android-support-library ,    Hi I have been using android support v .. and recently tried to update it to .. ( the latest one when this was asked) but I got the following error:Error:Conflict with dependency 'com.android.support:support-annotations'. Resolved versions for app (..) and test app (..) differ. See <a href=\http://g.co/androidstudio/app-test-app-conflict\ rel=oreferrer\>http://g.co/androidstudio/app-test-app-conflict</a> for details.So far I have found this <a href=\https://code.google.com/p/android/issues/detail?id=\ rel=oreferrer\>https://code.google.com/p/android/issues/detail?id=</a>I went to both the links but I could not fix my issue how do I fix this issue?Edit:I have these in my dependenciescompile 'com.android.support:support-v:..'compile 'com.android.support:appcompat-v:..'compile 'com.android.support:recyclerview-v:..'compile 'com.android.support:cardview-v:..'compile 'com.android.support:design:..'Previouly all the versions were .. and it worked fine the error occurred after updatingEdit:Gradle Version .Gradle Plugin Version ..buildToolsVersion \..\,    Android support library error after updating to ..
 android android-service android-gps firebase-job-dispatcher  ,    I have a recurring job service using Firebase JobDispatcher which will keep tracking the device GPS location. How can I stop the service so that the application will not track the location on a button click from any activity.FirebaseJobDispatcher dispatcher = new FirebaseJobDispatcher(new GooglePlayDriver(getApplicationContext())),    Stop a Firebase JobDispatcher service
 android android-studio ,    I successfully got administrator privileges everything works fine. Only problem is that DeviceAdminReceiver is never being called I am trying to check for number of failed passwords.public class MyAdminReceiver extends DeviceAdminReceiver {void showToast(Context context CharSequence msg) {    Toast.makeText(context msg Toast.LENGTH_SHORT).show(),    DeviceAdminReceiver is never being called
 android nullpointerexception  ,    I am getting this java.lang.NullPointerException: Attempt to invoke virtual method 'void android.widget.EditText.setText(java.lang.CharSequence)' on a null object referenceThe edittext in question is not declared as final. Once again a beginner question any help will be appreciated.                         @Override                        public void onClick(DialogInterface dialog int id) {                             EditText TaskTitle = (EditText) inflater.findViewById(R.id.task_title),    java.lang.NullPointerException Please see details
 android delphi scroll firemonkey tlistview ,    Is here any way to avoid lag on Android when populated TListview on scrollbox goes away from screen and comes back ? It looks like it trying to repopulate all items in list before appearing on screen.Sample code: ScrollBox - alligned 'Client' ListView on ScrollBox Button on ScrollBox,    Why FMX TListView on scrollbox lags on Android?
 android firebase firebase-cloud-messaging android-studio-.  ,    I have created firebase project but not yet added my android app to it. but some days back I have created one project on firebase with the same application ID but with different google account. So will it be valid to have  projects with same application ID with different google accounts?,    Firebase apps with same application ID from different google accounts
 android android-activity toast ,    <blockquote>  Possible Duplicate:<br>  <a href=\http://stackoverflow.com/questions//how-do-i-make-a-toast-from-a-non-activity-class\>How do I make a toast from a non activity class?</a>  </blockquote>How can I create and show a Toast message from a class which does not extended the Activity class? I'm using this class in another class that is extended by Activity.,    How to display a Toast message in from a class that doesn&#;t extend Activity
 android compiler-errors android-ndk  ,    I covert a ADT project to Android Studio. however i kept getting the error when building this project:Error:() Android NDK: Module MediaEncoder depends on undefined modules: cutils gnustl dlThis is what is in the Android.mk. I am new to NTK anybody can advise the issue here? # building application library #include $(CLEAR_VARS)LOCAL_MODULE := libMediaEncoderLOCAL_CPP_EXTENSION := .cc .cppLOCAL_CPPFLAGS := -O -Werror -Wall LOCAL_C_INCLUDES :=  $(MY_LOCAL_PATH)LOCAL_SRC_FILES := main_jni.cpp \\                   hencoder.cpp \\                   gx/g_.c \\                   gx/g.c \\                   gx/gx.c LOCAL_LDLIBS += -llog -lzLOCAL_SHARED_LIBRARIES := libcutils\\                          libgnustl\\                          libdl,    Android NDK: Module MediaEncoder depends on undefined modules: cutils gnustl dl
 android material-design android-support-library ,    This GIF pretty much shows what I am talking about:<a href=\https://i.stack.imgur.com/uCej.gif\ rel=ofollow noreferrer\><img src=\https://i.stack.imgur.com/uCej.gif\ alt=\The Bug in Action\></a>I have a fairly complicated DrawerLayout -> CoordinatorLayout -> ViewPager -> Fragment -> RecyclerView situation going on in my app.When a user long clicks on one of the items in the RecyclerView it sends a Broadcast to the ParentActivity which then signals the BottomSheet to appear.Usually it works fine but every once in a while the BottomSheet doesn't appear. I have a FrameLayout that acts as an overlay between the ParentActivity and the ViewPager. When you click the Overlay it tells the BottomSheet to collapse. You can see in the GIF above that in situations when the BottomSheet does not appear it still animates on collapse.This behavior happens pretty frequently on my Nexus  Genymotion (API ) emulator. On real devices it almost never happens but it does sometimes.What I have noticed is that if I do the long click and hold until the BottomSheet appears it always appears. It's when I release immediately after the long click is registered that the BottomSheet might not appear.I'm fairly certain that this is a situation where the RecyclerView is interfering in some way but I can't really figure out why or how. Any debugging tips would be appreciated.For reference here is the layout in question:&lt,    Bottom Sheet doesn&#;t appear sometimes in complicated view
 android xamarin mvvmcross  ,    We are using Xamarin and latest MvvmCross . just for Android at the moment no iOS.I have a MainActivity which contains a toolbar in a linear layout and in a drawer layout a list view (so to make a slide out menu). The MvxAndroidSetup overrides the CreateViewPresenter to setup a fragment presenter this all works fine and can switch between views by calling ShowViewModel in a ViewModel with the ViewModel type I want to show.The question now comes how do I create a login view. Since the login view does not want to inherit the toolbar and the slide out menu. ) Create a LoginView fragment have the normal login view inputs etc here and hide the toolbar and disable the slide out menu.) Create a LoginActivity to contain all it's view contents.I have tried # but am having issues with being able to start the MainAcitivity from the LoginActivity LoginViewModel button click command. I've not tried # as it seems like a hack.Does anyone have any ideas on how I could accomplish this?,    MvvmCross Android Main View With Drawer and Separate Login View
 android database firebase firebase-database cloud ,    Can anyone guide me how to build a simple Multiple choice question Android app? I have developed simple apps and know the basics. It's for an academic project.What I want in this Android app is that I will have all the questions stored in a cloud database. When user starts the app he/she is presented with the latest question with  options. There will be three buttons on the activity:.) Next Question .) Previous question .) Show Answer.Now when next question button is clicked the user is presented the next record from database. and it goes on and on.Can anyone guide me how to proceed with this (coding part)? Also which database should I go for? I was trying to understand Firebase but can't get it working. (I am looking for a free option).,    How to build a simple Android quiz app?
 android facebook facebook-login  ,    Im using facebook sdk for login in my android application. i have successfully login with facebook but i have changed the password in facebook then the logged android application should prompt for login again. i have followed the documentation <a href=\https://developers.facebook.com/docs/facebook-login/android\ rel=ofollow noreferrer\>https://developers.facebook.com/docs/facebook-login/android</a> it shows only login procedure .public class UserLoginActivity extends AppCompatActivity {CallbackManager callbackManager,    How could i send user to login page in my android application if user changed the facebook password
